c,sdat,d
1,1275,1
1,1303,1
1,1236,1
1,1232,1
1,1328,1
1,1312,1
0,1205,1
1,1244,1
1,1289,1
1,1256,1
1,1261,0.999999999999999
1,1280,1
1,1232,1
0,1183,0.999999999999999
1,1230,1
1,1246,1
1,1218,1
1,1245,1
1,1256,1
1,1282,1
1,1251,1
0,1179,0.999999999999999
1,1241,1
1,1224,1
1,1238,0.999999999999999
1,1196,1
1,1221,1
1,1207,0.999999999999999
1,1262,1
1,1211,1
1,1247,1
1,1201,1
1,1220,0.999999999999999
1,1260,1
1,1222,1
1,1225,0.999999999999999
1,1159,0.999999999999998
0,1135,0.999999999999942
1,1160,0.999999999999997
0,1120,0.999999999999675
1,1163,0.999999999999998
1,1170,1
1,1157,0.999999999999996
1,1218,1
1,1146,0.999999999999985
1,1177,0.999999999999999
1,1178,0.999999999999999
1,1219,1
1,1191,1
1,1190,0.999999999999999
1,1155,0.999999999999995
1,1165,0.999999999999998
1,1161,0.999999999999998
1,1138,0.999999999999962
1,1136,0.999999999999949
1,1147,0.999999999999987
1,1152,0.999999999999991
1,1165,0.999999999999998
1,1159,0.999999999999998
1,1217,1
1,1153,0.999999999999994
1,1140,0.999999999999968
0,1091,0.999999999992159
1,1155,0.999999999999995
1,1198,1
1,1159,0.999999999999998
1,1137,0.999999999999954
1,1149,0.999999999999991
1,1121,0.999999999999704
1,1133,0.999999999999926
1,1098,0.999999999996316
1,1121,0.999999999999704
1,1151,0.999999999999992
1,1096,0.999999999995426
1,1101,0.999999999997367
1,1121,0.999999999999704
0,1056,0.999999999750445
1,1077,0.999999999967427
1,1147,0.999999999999987
1,1092,0.999999999993077
1,1087,0.999999999988489
0,1043,0.999999999161681
1,1097,0.999999999995811
1,1081,0.999999999978694
1,1134,0.999999999999933
1,1135,0.999999999999942
1,1117,0.999999999999544
1,1120,0.999999999999675
1,1072,0.999999999945614
1,1065,0.999999999891336
1,1064,0.999999999882542
1,1095,0.999999999994993
1,1046,0.999999999345621
1,1061,0.999999999844872
1,1028,0.99999999678856
1,1038,0.999999998658971
1,1048,0.999999999470165
1,1096,0.999999999995426
1,1075,0.999999999960934
1,1045,0.999999999286039
1,1082,0.999999999980713
1,1027,0.999999996463392
1,1041,0.999999998989429
1,1025,0.999999995746044
1,1018,0.999999992277043
0,1175,1
1,1003,0.999999973580997
1,1067,0.999999999913013
0,973,0.99999973210589
1,1041,0.999999998989429
1,1038,0.999999998658971
1,1007,0.999999980892874
1,982,0.999999862770893
1,1023,0.999999995050422
1,1045,0.999999999286039
1,1016,0.999999991017867
1,984,0.999999879422884
1,979,0.999999827700173
1,984,0.999999879422884
1,1052,0.99999999962392
1,1005,0.999999976974728
1,974,0.999999751098172
1,969,0.999999635017623
1,955,0.999999005849419
1,979,0.999999827700173
1,996,0.99999995370814
1,1027,0.999999996463392
1,982,0.999999862770893
1,966,0.999999553900466
1,976,0.999999782374842
1,1007,0.999999980892874
1,951,0.999998718397771
1,1011,0.999999986137495
1,994,0.999999945941168
1,929,0.999994517123647
1,1045,0.999999999286039
1,958,0.99999921064697
1,949,0.99999851337005
1,965,0.999999519198941
1,956,0.99999907844612
1,929,0.999994517123647
1,917,0.999988231585573
1,917,0.999988231585573
1,907,0.999978870610905
0,865,0.999791280742494
1,996,0.99999995370814
1,946,0.999998189199457
1,913,0.999985227666636
1,941,0.999997441590064
1,935,0.99999625474557
1,992,0.999999935678218
1,906,0.999977625824135
1,938,0.999996926096836
1,957,0.999999148594593
1,941,0.999997441590064
1,878,0.999891427563483
1,907,0.999978870610905
1,949,0.99999851337005
1,864,0.999780032085213
1,867,0.99981106157778
1,885,0.999925965325212
1,817,0.998109760037573
0,806,0.997069337946849
1,943,0.999997793812108
1,856,0.999673872749439
1,819,0.998254743927701
1,914,0.999986101630116
1,872,0.999853481153508
1,867,0.99981106157778
1,809,0.997372203110421
1,830,0.99891750705333
1,850,0.999565128942919
1,786,0.993777593354013
1,783,0.993037266227431
1,836,0.999159650862807
1,856,0.999673872749439
1,859,0.99971799759677
1,879,0.999897818338882
1,804,0.996831414476296
1,792,0.994966289254324
1,779,0.99201066222085
1,803,0.996700354375116
1,775,0.990835954731779
1,825,0.9986540694838
1,810,0.997478813940337
1,833,0.999051690555715
1,772,0.989767784456399
